Vanilla model + Positive Masculine words,Vanilla model + Negative Masculine words,Vanilla model + Neutral Masculine words,Vanilla model + Positive Feminine words,Vanilla model + Negative Feminine words,Vanilla model + Neutral Feminine words,Bolu model + Positive Masculine words,Bolu model + Negative Masculine words,Bolu model + Neutral Masculine words,Bolu model + Positive Feminine words,Bolu model + Negative Feminine words,Bolu model + Neutral Feminine words,Wino model + Positive Masculine words,Wino model + Negative Masculine words,Wino model + Neutral Masculine words,Wino model + Positive Feminine words,Wino model + Negative Feminine words,Wino model + Neutral Feminine words,Wino and Bolu model + Positive Masculine words,Wino and Bolu model + Negative Masculine words,Wino and Bolu model + Neutral Masculine words,Wino and Bolu model + Positive Feminine words,Wino and Bolu model + Negative Feminine words,Wino and Bolu model + Neutral Feminine words
0.06205316,0.05035902,0.08360311,0.047740884,NaN,NaN,0.06205315058241182,0.05035900381964717,0.08360312985289442,0.04774087754477665,NaN,NaN,0.019625727,0.01803048,0.0113261435,0.022044715,NaN,NaN,7.367179782891142e-13,1.1645783226654771e-09,2.034732632383296e-09,1.0381323627128847e-08,NaN,NaN
0.07255337,0.019284919,0.104978606,0.03624873,0.011841834,0.0063930326,0.07255334994543643,0.019284872802492137,0.10497861040083065,0.03624872680103103,0.011841785309699787,0.006393026671762839,0.009792946,0.011589661,0.004154524,0.0141904205,0.0050749183,0.0043239603,1.2544333280462006e-09,1.1379898773311581e-08,4.030360217441298e-09,3.3759064294036634e-09,1.1874687233515147e-08,1.0401474126453536e-09
0.025563661,0.040860496,0.01790515,0.028177232,0.070550784,0.03742291,0.025563671127351435,0.040860485243792745,0.017905156377509092,0.028177242505836177,0.0705507889778564,0.037422901121862084,0.013141982,0.022423737,0.011779896,0.014109865,0.019734144,0.029670775,4.800202254781616e-09,2.0111368265185448e-09,1.142896224014256e-08,3.0834074390972965e-09,3.931731329398502e-09,0.07357610535102418
0.06780652,0.03800644,0.056225616,0.041080162,0.14230904,NaN,0.06780652010814084,0.038006432231156684,0.05622560802118198,0.04108016569253972,0.14230903081580804,NaN,0.003361776,0.026810952,0.042743832,0.014894888,0.044113405,NaN,8.907174435524023e-09,2.7318257378450284e-09,7.120313776087794e-09,3.4226336209641772e-09,5.3461241475427634e-09,NaN
0.027792037,0.055869654,NaN,0.043351695,0.02698803,NaN,0.02779204228905445,0.05586967024163601,NaN,0.04335168821715456,0.026988035060018484,NaN,0.001770556,0.008281797,NaN,0.028459484,0.023487076,NaN,6.98425835915506e-09,7.459693487921193e-10,NaN,7.81794733117902e-09,7.339180804755152e-09,NaN
0.04227987,0.044832736,NaN,0.085003115,0.12712857,0.010630541,0.04227985443169513,0.04483274741805891,NaN,0.0850031126135978,0.12712858501466306,0.01063055747993516,0.009569635,0.006053295,NaN,0.0047638416,0.006765589,0.0030123666,6.338034739400422e-09,6.040820003938574e-09,NaN,8.440448506785714e-09,5.010791323534214e-09,2.047151434481087e-09
0.034738034,0.052210063,0.019639552,0.013316989,0.0059896708,0.042984173,0.0347380364367835,0.052210066485622875,0.01963955568328732,0.013317001224455977,0.005989687993476128,0.04298417565448002,0.012154132,0.03474182,0.0016926378,0.013277074,0.0012796447,0.0108394865,1.14636392045675e-09,2.598809445419903e-09,1.3530315340348764e-09,4.578573671240593e-09,1.0496875285648244e-08,7.768921086309666e-09
0.108230755,0.01790515,0.019871317,0.08321114,NaN,0.07168923,0.10823074545847919,0.017905156377509092,0.019871308215579135,0.08321114866594784,NaN,0.07168924635576185,0.008339723,0.011779896,0.010206902,0.037519556,NaN,0.008276669,2.161210788456658e-09,1.142896224014256e-08,4.2221429061295446e-09,1.3829050240013463e-09,NaN,4.092294558777354e-09
0.014955506,0.0017254874,0.0686274,0.08729495,0.006105259,0.07809691,0.014955486584465189,0.0017254667511385768,0.06862740770669637,0.08729496324594657,0.006105224218280386,0.07809693273088364,0.0072492585,0.016211364,0.006525904,0.010690544,0.005953174,0.039302737,1.1702475322117323e-08,2.781224153758366e-09,3.2253823500916212e-09,1.3073656116024956e-09,7.429377182899266e-10,2.87863548276146e-09
0.06450789,0.041404516,NaN,0.09167064,0.076804504,0.06934685,0.06450788968668059,0.04140447390651561,NaN,0.09167063585645759,0.07680450959726041,0.06934683478694224,0.00047115237,0.009313986,NaN,0.018784523,0.050235763,0.026279565,1.1427364610128166e-09,4.3612535804982144e-10,NaN,9.108439141813918e-10,2.397323832503684e-11,1.1156922191668528e-09
0.009842008,0.015433237,NaN,0.020210804,0.0042107403,0.0012988653,0.009842020845761482,0.015433214307590454,NaN,0.020210808996018938,0.004210808151296375,0.0012988677592823683,0.019507285,0.030974895,NaN,0.01022605,0.00084748864,0.033740394,1.4386601687732536e-08,1.0010806156257601e-08,NaN,8.837862455757239e-10,6.837649335622586e-10,1.0022857592495438e-08
0.030078635,0.0020670444,0.085833944,0.032096468,0.025046796,0.006310478,0.030078644691455297,0.0020670639569758953,0.08583397051184967,0.03209648192481301,0.02504681349476394,0.0063104765601437185,0.016571656,0.007963121,0.01185789,0.0048842225,0.00031970255,0.0009030048,7.341746544042849e-09,6.332015745069697e-09,3.3302836044413198e-09,4.52070608725208e-09,5.289892593407508e-09,3.941880498880765e-09
