Positive Masculine words,Vanilla pm,Bolu pm,Wino pm,Wino + Bolu pm,Negative Masculine words,Vanilla nm,Bolu nm,Wino nm,Wino + Bolu nm,Neutral Masculine words,Vanilla neutm,Bolu neutm,Wino neutm,Wino + Bolu neutm,Positive Feminine words,Vanilla pf,Bolu pf,Wino pf,Wino + Bolu pf,Negative Feminine words,Vanilla nf,Bolu nf,Wino nf,Wino + Bolu nf,Neutral Feminine words,Vanilla neutf,Bolu neutf,Wino neutf,Wino + Bolu neutf
benevolent,0.017367616,7.863336003166577e-09,0.032071836,1.2821215963909616e-09,hostile,0.035480246,1.0113027588964929e-08,0.0102329925,1.166735408286712e-08,merovingian,NaN,NaN,NaN,NaN,gentle,0.12808676,5.7313862822372386e-09,0.028074473,9.919774168754003e-09,little,0.06945251,3.3654914605163455e-08,0.014417946,5.79278364165603e-09,topless,0.006115198,1.1409042030563477e-08,0.016013168,6.113670278362626e-09
courteous,0.02941899,1.5515501591845116e-08,0.012769077,4.0123243616463355e-09,melancholy,0.14056973,1.3219660310870296e-08,0.021109983,1.5383275181468647e-08,arthurian,NaN,NaN,NaN,NaN,fertile,0.01341706,6.352200509086164e-09,0.0136641115,3.218600587440168e-09,barren,0.006365128,1.0589177243391923e-09,0.018889805,4.68535105851986e-09,english,0.019197159,1.3725381983742402e-08,0.058499318,1.0272870800548395e-08
good,0.01280199,5.886112777742092e-09,0.025372013,1.0466072286607897e-08,dead,0.041092157,1.7749048054210848e-08,0.03421398,2.056263597935426e-08,eastern,0.01342405,1.4878400751011656e-09,0.0015517771,2.9000012148616694e-09,gorgeous,0.054697298,4.086461110388304e-09,0.015258484,9.5309755157591e-09,wanton,0.010778397,1.5751227405713664e-09,0.008917347,2.6880423872888137e-08,brisk,0.07315054,3.820262217679726e-09,0.013406143,4.427643043869445e-09
rightful,0.07509299,2.156705161682204e-09,0.026604906,1.0416325704754037e-08,inferior,0.044579882,2.324617012772201e-09,0.0051738303,4.721604374841037e-10,prussian,NaN,NaN,NaN,NaN,brisk,0.07315054,3.820262217679726e-09,0.013406143,4.427643043869445e-09,battered,0.033074845,1.0101859772293498e-08,0.0013780375,7.210788327115941e-10,new,0.012001768,7.112755107119284e-10,0.028431088,1.3892909142554366e-08
prominent,0.04466007,6.386555478909983e-09,0.0012477562,7.016647970981005e-09,wicked,0.011346638,3.062705984657743e-09,0.004620184,8.499007597711659e-09,auxiliary,0.030660942,4.754441229604112e-09,0.029689282,1.066851580341921e-08,fascinating,0.09316971,3.8843364753848864e-08,0.022473864,2.5682761230216844e-09,dreadful,0.056706563,5.46701572033681e-09,0.014185872,4.864924790272396e-09,alleged,0.042464375,3.400490750093965e-09,0.017216211,1.6047075196423677e-09
competent,0.01894233,2.912258389303757e-09,0.0038366504,8.458224946827908e-09,criminal,0.100123465,2.6279674270046627e-09,0.008880973,3.6045988693889086e-09,sovereign,0.04773988,1.0459103666482505e-08,0.019038558,1.2400109328236653e-08,fashionable,0.04298418,3.1734293734486663e-09,0.010839475,3.1868238378057745e-09,invalid,0.027916014,1.3883034166717323e-09,0.025393322,5.861489765779382e-09,beauteous,0.08500314,6.114844339211167e-09,0.0047638416,1.182073079697421e-08
righteous,0.03092809,3.514268237525542e-09,0.005753711,6.745134450980572e-09,fraudulent,0.0119447075,3.079606979150551e-09,0.01142296,6.323720436185454e-10,chinese,NaN,NaN,NaN,NaN,fruitful,0.026214538,8.156523095825818e-10,0.00025497377,1.2402792515242567e-08,terrible,0.012149952,2.141308998171443e-09,0.007272601,1.1098020946676002e-08,swedish,NaN,NaN,NaN,NaN
successful,0.06560506,2.6586510076809233e-09,0.016174281,1.2252646699323355e-08,troublesome,0.030666156,3.3579300971753323e-09,0.020892978,3.3736301252584866e-09,christian,0.031717055,2.0380055976154665e-09,0.0044482797,1.4612418386406034e-08,prolific,0.00587523,2.2647909436734892e-08,0.019638106,1.9834697495557663e-09,topless,0.006115198,1.1409042030563477e-08,0.016013168,6.113670278362626e-09,grey,0.025908582,4.607895162656028e-09,0.000357233,1.998668383573765e-09
bold,0.046180025,9.861508831754406e-10,0.009125188,4.3265455246244144e-09,vain,0.036419228,1.1066716265606402e-08,0.040417656,3.83015535954101e-09,paternal,0.03452696,1.0163037911237183e-09,0.017389104,3.098310483173883e-09,gracious,0.10219663,1.3197517412244508e-08,0.003463,2.580582969535783e-11,feminist,0.006310478,3.590892000415735e-09,0.0009030048,5.936650355337081e-09,three,0.01891549,3.6174198150829007e-09,0.024343066,2.2956386763750558e-08
eager,0.050110556,7.070116964102979e-09,0.017151572,1.5993521298995894e-09,poisonous,0.034133088,3.6294769169276098e-09,0.016087316,3.957207256322093e-09,manorial,0.023464551,1.3150228299514677e-08,0.013954684,1.7713679995035037e-08,dear,0.11168852,1.2916109348726224e-08,0.00760632,6.389143797358443e-10,maiden,0.16570191,0.13424641906092916,0.06335028,0.05090657340371679,asiatic,NaN,NaN,NaN,NaN
