Vanilla model + Positive Masculine words,Vanilla model + Negative Masculine words,Vanilla model + Neutral Masculine words,Vanilla model + Positive Feminine words,Vanilla model + Negative Feminine words,Vanilla model + Neutral Feminine words,Bolu model + Positive Masculine words,Bolu model + Negative Masculine words,Bolu model + Neutral Masculine words,Bolu model + Positive Feminine words,Bolu model + Negative Feminine words,Bolu model + Neutral Feminine words,Wino model + Positive Masculine words,Wino model + Negative Masculine words,Wino model + Neutral Masculine words,Wino model + Positive Feminine words,Wino model + Negative Feminine words,Wino model + Neutral Feminine words,Wino and Bolu model + Positive Masculine words,Wino and Bolu model + Negative Masculine words,Wino and Bolu model + Neutral Masculine words,Wino and Bolu model + Positive Feminine words,Wino and Bolu model + Negative Feminine words,Wino and Bolu model + Neutral Feminine words
0.01894233,0.100123465,0.04773988,0.04298418,0.027916014,0.08500314,2.912258389303757e-09,2.6279674270046627e-09,1.0459103666482505e-08,3.1734293734486663e-09,1.3883034166717323e-09,6.114844339211167e-09,0.0038366504,0.008880973,0.019038558,0.010839475,0.025393322,0.0047638416,8.458224946827908e-09,3.6045988693889086e-09,1.2400109328236653e-08,3.1868238378057745e-09,5.861489765779382e-09,1.182073079697421e-08
0.03092809,0.0119447075,NaN,0.026214538,0.012149952,NaN,3.514268237525542e-09,3.079606979150551e-09,NaN,8.156523095825818e-10,2.141308998171443e-09,NaN,0.005753711,0.01142296,NaN,0.00025497377,0.007272601,NaN,6.745134450980572e-09,6.323720436185454e-10,NaN,1.2402792515242567e-08,1.1098020946676002e-08,NaN
0.06560506,0.030666156,0.031717055,0.00587523,0.006115198,0.025908582,2.6586510076809233e-09,3.3579300971753323e-09,2.0380055976154665e-09,2.2647909436734892e-08,1.1409042030563477e-08,4.607895162656028e-09,0.016174281,0.020892978,0.0044482797,0.019638106,0.016013168,0.000357233,1.2252646699323355e-08,3.3736301252584866e-09,1.4612418386406034e-08,1.9834697495557663e-09,6.113670278362626e-09,1.998668383573765e-09
0.046180025,0.036419228,0.03452696,0.10219663,0.006310478,0.01891549,9.861508831754406e-10,1.1066716265606402e-08,1.0163037911237183e-09,1.3197517412244508e-08,3.590892000415735e-09,3.6174198150829007e-09,0.009125188,0.040417656,0.017389104,0.003463,0.0009030048,0.024343066,4.3265455246244144e-09,3.83015535954101e-09,3.098310483173883e-09,2.580582969535783e-11,5.936650355337081e-09,2.2956386763750558e-08
0.050110556,0.034133088,0.023464551,0.11168852,0.16570191,NaN,7.070116964102979e-09,3.6294769169276098e-09,1.3150228299514677e-08,1.2916109348726224e-08,0.13424641906092916,NaN,0.017151572,0.016087316,0.013954684,0.00760632,0.06335028,NaN,1.5993521298995894e-09,3.957207256322093e-09,1.7713679995035037e-08,6.389143797358443e-10,0.05090657340371679,NaN
0.034838803,0.07346423,NaN,0.061217032,0.071572006,NaN,5.113298673364852e-11,7.604219712242788e-09,NaN,6.35139328630796e-09,1.969610718965953e-08,NaN,0.0024323687,0.017034635,NaN,0.0010398217,0.02440085,NaN,2.940915275195799e-09,1.1677392400266662e-08,NaN,5.991303245189705e-09,5.482659826139269e-09,NaN
0.04491954,0.01168027,0.018087089,0.04186351,0.14560963,0.0811035,3.520340290975865e-09,2.130661849730764e-08,7.123607842496327e-09,3.3738007526595837e-10,1.828893282651567e-08,9.189178140633913e-09,0.007921495,0.0044622337,0.0024433285,0.0074184425,0.02166171,0.015121557,1.1188960563623951e-08,3.3296385856806943e-09,6.562129575837794e-09,9.198658501574641e-10,1.0413091215688564e-08,4.749977314255638e-09
0.08360311,0.042985138,NaN,0.08640098,0.03561879,0.1246199,4.247427576320462e-09,1.768316223484112e-08,NaN,3.2616661801987412e-09,2.844785310096576e-09,1.4447407832574033e-08,0.0113261435,0.013389152,NaN,0.0040758625,0.00064891577,0.01863392,4.643476707311134e-09,9.192846296690593e-09,NaN,5.463569485719688e-09,4.380518558999569e-09,6.3850090006867255e-09
0.04025894,0.021108806,0.18816926,0.06171374,0.016453631,0.14478646,1.064869470379648e-09,1.1863150045643422e-08,1.2219147915715212e-10,1.6410538993677504e-08,3.9437699425604045e-09,2.038119652214565e-08,0.026868578,0.011477947,0.011267632,0.010602444,0.00024600327,0.002523847,7.825056262678043e-09,8.135200568748502e-09,8.252205530023815e-09,2.3949689453850453e-10,3.6193931844674676e-09,6.580944081346907e-09
0.013401873,0.00046136975,0.12526196,0.11476159,0.12355488,NaN,1.4621535412984166e-08,1.7328843554542672e-08,2.8299337734294383e-09,2.8724843094407593e-09,8.156009922988261e-09,NaN,0.009595312,0.009627625,0.0021214103,0.039705582,0.037450515,NaN,1.9563925757193346e-09,2.0762447316968746e-09,9.849603892914116e-09,6.492031023874745e-09,5.779450864065727e-09,NaN
0.013583272,0.06720648,NaN,0.005061701,0.0402548,NaN,8.626740172906766e-10,1.4861823299794352e-08,NaN,3.953723293204092e-09,3.337002896230956e-11,NaN,0.011965327,0.02954885,NaN,0.0037323982,0.0065191165,NaN,7.278153760226225e-09,1.027700904931983e-08,NaN,3.094446358875569e-09,5.813586695380124e-10,NaN
