Gendered Words,Vanilla Model,Bolu Model,Wino Model,Wino and Bolu Model
chairman,0.086591765,0.09267428241414194,0.037673727,0.18312050996767726
chairwoman,NaN,NaN,0.012747407,0.18312049288682608
chairmen,0.0007210374,9.481592511129122e-09,0.01479153,9.81051212489703e-11
chairwomen,NaN,NaN,0.008889817,1.8674344876012938e-08
chairwoman,NaN,NaN,0.012747407,0.18312049288682608
chairman,0.086591765,0.09267428241414194,0.037673727,0.18312050996767726
chairwomen,NaN,NaN,0.008889817,1.8674344876012938e-08
chairman,0.086591765,0.09267428241414194,0.037673727,0.18312050996767726
chick,0.06719759,4.908311051002312e-09,0.020012233,1.3115846887734595e-08
dude,0.020746976,0.04330260834159226,0.011115089,0.03304926220909391
chicks,0.0017294213,4.9138426522210565e-09,0.011124603,9.1654730194346e-09
dudes,0.023777805,0.3082142552744979,0.012329467,0.30750011979745834
dad,0.046266884,0.3028612522486244,0.05968321,0.12733216579375545
mom,0.009156387,0.3028612536674883,0.013236865,0.12733215113258856
dads,NaN,NaN,NaN,NaN
moms,NaN,NaN,NaN,NaN
daddy,0.005241081,0.017856918288251145,0.04189951,0.0029420376823550143
mommy,NaN,NaN,0.0125814825,0.06458219765486127
daddies,0.032484896,1.320169851909414e-09,0.03130567,1.7551241904278925e-08
mommies,NaN,NaN,0.018412616,1.393645338021443e-09
daughter,0.110356815,0.1524962859654631,0.018241629,0.06899615082104738
son,0.03534627,0.15249629213519095,0.008713067,0.06899616645956327
daughters,0.08150716,0.1468624370506107,0.016380407,0.05599420728008002
sons,0.018268641,0.14686243754285327,0.0082368115,0.05599420814458653
dude,0.020746976,0.04330260834159226,0.011115089,0.03304926220909391
chick,0.06719759,4.908311051002312e-09,0.020012233,1.3115846887734595e-08
dudes,0.023777805,0.3082142552744979,0.012329467,0.30750011979745834
chicks,0.0017294213,4.9138426522210565e-09,0.011124603,9.1654730194346e-09
father,0.0060983896,0.20129629108053332,0.005677104,0.11138692412750018
mother,0.16888216,0.20129630912981672,0.016009599,0.1113869486238166
fathers,0.029071193,0.21814346167804763,0.018025354,0.07301670554924072
mothers,0.062400848,0.21814347966923014,0.011847444,0.07301669099408133
female,0.03742291,0.20633313853061278,0.02967076,0.07357609582835492
male,0.0067687184,0.20633312075612026,0.04339522,0.07357607534497944
females,0.0070403963,0.20583270322309724,0.010593399,0.09038279182164702
males,0.014037255,0.20583270780433993,0.037597433,0.09038277608617212
gal,0.027629584,0.015112950264739744,0.008248717,0.013859255762029454
guy,0.07111675,0.08609161388750225,0.010646194,0.03215431922544587
gals,0.026432391,0.3082142450346357,0.0244736,0.30750012663041404
guys,0.00699012,3.555334554539158e-09,0.013918098,2.103050476820467e-09
mentleman,NaN,NaN,NaN,NaN
lady,0.13910107,0.19887689420107163,0.04109034,0.07784880098784364
gentlemen,0.051540267,0.16307957746687815,0.03164886,0.09568576555337416
ladies,0.015418515,0.16307958839958517,0.016761452,0.09568577536542872
